Date,Product,Sales,Region
2026-12-05,Keyboard,25.0,South
2026-12-05,Laptop,150.0,South
2026-12-05,Laptop,1200.0,North
2026-10-05,Laptop,50.0,West
2026-10-05,Mouse,25.0,East
2026-10-05,Laptop,0.0,East
2026-12-05,Monitor,300.0,West
2026-12-05,Laptop,0.0,South
2026-12-05,Uncategorized,0.0,South
2026-12-05,Keyboard,150.0,West
2026-10-05,Laptop,1200.0,West
2026-10-05,Mouse,1200.0,North
2026-10-05,Keyboard,1200.0,West
2026-10-05,Laptop,25.0,East
2026-10-05,Monitor,150.0,North
2026-10-05,Laptop,150.0,East
2026-10-05,Laptop,25.0,South
2026-12-05,Mouse,25.0,West
2026-12-05,Mouse,150.0,West
2026-12-05,Mouse,50.0,South
2026-10-05,Monitor,25.0,South
2026-10-05,Uncategorized,1200.0,South
2026-10-05,Keyboard,0.0,East
2026-12-05,Laptop,0.0,North
2026-12-05,Mouse,25.0,North
2026-12-05,Keyboard,150.0,North
2026-12-05,Mouse,150.0,North
2026-12-05,Laptop,150.0,South
2026-10-05,Laptop,0.0,South
2026-10-05,Keyboard,150.0,West
2026-10-05,Laptop,1200.0,North
2026-10-05,Mouse,50.0,South
2026-10-05,Laptop,50.0,South
2026-10-05,Laptop,150.0,North
2026-12-05,Keyboard,0.0,East
2026-12-05,Laptop,1200.0,West
2026-12-05,Keyboard,150.0,South
2026-12-05,Mouse,1200.0,East
2026-10-05,Laptop,0.0,West
2026-10-05,Monitor,300.0,South
2026-10-05,Laptop,25.0,East
2026-12-05,Laptop,150.0,North
2026-12-05,Keyboard,0.0,East
2026-12-05,Mouse,300.0,West
2026-10-05,Mouse,300.0,East
2026-10-05,Mouse,25.0,South
2026-10-05,Monitor,0.0,East
2026-10-05,Laptop,50.0,South
2026-10-05,Laptop,0.0,North
2026-10-05,Keyboard,25.0,North
2026-10-05,Uncategorized,0.0,West
2026-10-05,Uncategorized,0.0,North
2026-12-05,Laptop,50.0,East
2026-12-05,Laptop,150.0,East
2026-10-05,Keyboard,50.0,South
2026-10-05,Monitor,0.0,East
2026-12-05,Mouse,0.0,East
2026-12-05,Mouse,150.0,North
2026-12-05,Mouse,1200.0,East
2026-12-05,Uncategorized,0.0,North
2026-12-05,Laptop,0.0,East
2026-10-05,Monitor,150.0,East
2026-12-05,Laptop,150.0,South
2026-12-05,Laptop,0.0,South
2026-12-05,Mouse,50.0,East
2026-12-05,Mouse,25.0,West
2026-12-05,Keyboard,300.0,West
2026-12-05,Laptop,0.0,North
2026-12-05,Laptop,50.0,East
2026-12-05,Laptop,0.0,East
2026-12-05,Monitor,1200.0,South
2026-12-05,Monitor,0.0,East
2026-12-05,Laptop,1200.0,North
2026-10-05,Laptop,1200.0,West
2026-10-05,Laptop,150.0,North
2026-10-05,Keyboard,1200.0,South
2026-10-05,Laptop,0.0,North
2026-10-05,Monitor,1200.0,South
2026-12-05,Uncategorized,0.0,West
2026-12-05,Laptop,25.0,South
2026-12-05,Laptop,0.0,West
2026-12-05,Monitor,0.0,West
2026-12-05,Monitor,1200.0,East
2026-10-05,Keyboard,0.0,North
2026-10-05,Laptop,0.0,South
2026-12-05,Mouse,0.0,South
2026-12-05,Mouse,25.0,West
2026-10-05,Keyboard,50.0,West
2026-10-05,Keyboard,0.0,West
2026-10-05,Laptop,0.0,West
2026-10-05,Laptop,25.0,North
2026-10-05,Laptop,1200.0,North
2026-12-05,Laptop,1200.0,South
2026-12-05,Mouse,0.0,North
2026-12-05,Laptop,0.0,South
2026-12-05,Mouse,25.0,South
2026-12-05,Laptop,150.0,South
2026-12-05,Laptop,25.0,East
2026-12-05,Keyboard,0.0,North
