Date,Product,Sales,Region
2026/05/10,laptop,300,South
2026-05-13,,300,North
,,25,East
,LAPTOP,1200,East
2026/05/10,LAPTOP,150,East
2026-05-13,keyboard,,North
13-05-2026,laptop,1200,South
2026-05-13,LAPTOP,150,South
2026-05-13,LAPTOP,25,North
2026-05-13,,,North
,keyboard,,East
2026-05-13,,,West
,laptop,300,West
2026-05-13,LAPTOP,,South
2026-05-13,laptop,1200,East
,Mouse,ERROR,North
2026-05-13,Mouse,ERROR,East
13-05-2026,Mouse,300,South
2026/05/10,,25,South
13-05-2026,LAPTOP,,North
2026-05-13,LAPTOP,ERROR,East
2026-05-13,laptop,,South
,keyboard,150,East
,LAPTOP,25,East
2026-05-13,keyboard,1200,East
13-05-2026,keyboard,ERROR,North
2026-05-13,keyboard,150,South
2026/05/10,Mouse,ERROR,North
13-05-2026,laptop,25,South
2026/05/10,keyboard,1200,West
13-05-2026,keyboard,1200,West
2026-05-13,keyboard,25,South
,,,West
2026/05/10,,,South
2026-05-13,,25,North
,,ERROR,North
,laptop,25,East
13-05-2026,,1200,East
13-05-2026,laptop,25,East
13-05-2026,LAPTOP,1200,West
2026-05-13,Mouse,1200,North
,LAPTOP,,East
2026/05/10,Mouse,,South
2026/05/10,keyboard,,West
,laptop,,East
2026-05-13,Mouse,1200,West
13-05-2026,laptop,,East
,keyboard,300,East
13-05-2026,Mouse,,North
2026/05/10,laptop,25,North
2026/05/10,keyboard,,South
2026/05/10,laptop,25,East
13-05-2026,laptop,300,North
2026/05/10,laptop,300,East
,laptop,,West
13-05-2026,keyboard,1200,East
,LAPTOP,,South
2026-05-13,Mouse,1200,South
13-05-2026,LAPTOP,ERROR,East
2026/05/10,laptop,ERROR,North
2026/05/10,laptop,300,North
13-05-2026,LAPTOP,ERROR,South
2026-05-13,Mouse,25,West
13-05-2026,,,North
,laptop,ERROR,North
2026/05/10,LAPTOP,ERROR,South
2026/05/10,,,South
2026/05/10,laptop,1200,East
2026-05-13,,ERROR,North
,,,North
13-05-2026,Mouse,ERROR,North
2026/05/10,keyboard,ERROR,West
,,150,North
13-05-2026,keyboard,ERROR,South
2026-05-13,Mouse,25,North
2026-05-13,Mouse,ERROR,East
2026-05-13,laptop,25,West
2026-05-13,laptop,ERROR,South
2026/05/10,laptop,300,West
2026/05/10,laptop,150,East
,keyboard,25,North
13-05-2026,laptop,300,West
2026/05/10,Mouse,,North
2026-05-13,keyboard,1200,East
2026-05-13,Mouse,150,East
2026/05/10,Mouse,ERROR,West
2026-05-13,keyboard,150,South
13-05-2026,laptop,150,East
2026/05/10,LAPTOP,1200,North
,keyboard,25,West
13-05-2026,,,West
,,300,West
,keyboard,,East
13-05-2026,laptop,1200,South
13-05-2026,LAPTOP,150,North
2026/05/10,LAPTOP,ERROR,North
2026/05/10,laptop,150,West
,laptop,150,North
2026/05/10,LAPTOP,25,North
13-05-2026,,150,East
2026-05-13,LAPTOP,25,West
2026/05/10,Mouse,1200,East
13-05-2026,laptop,1200,West
2026/05/10,laptop,150,West
13-05-2026,laptop,25,North
2026-05-13,laptop,ERROR,South
2026-05-13,laptop,25,West
13-05-2026,keyboard,25,South
,laptop,150,North
,,ERROR,South
,,25,West
,laptop,150,West
2026-05-13,,300,South
2026-05-13,,ERROR,West
,,,West
,LAPTOP,ERROR,North
2026-05-13,keyboard,150,East
2026-05-13,keyboard,ERROR,West
2026/05/10,laptop,,North
2026-05-13,LAPTOP,,West
,LAPTOP,25,North
2026-05-13,laptop,ERROR,West
2026-05-13,LAPTOP,25,West
,,25,North
,laptop,ERROR,East
,LAPTOP,25,East
,Mouse,25,South
13-05-2026,LAPTOP,300,North
2026-05-13,LAPTOP,,West
2026-05-13,LAPTOP,,North
13-05-2026,,300,West
2026/05/10,LAPTOP,1200,West
,Mouse,ERROR,West
2026-05-13,LAPTOP,25,West
,,300,East
2026/05/10,laptop,,South
,Mouse,ERROR,North
13-05-2026,laptop,,North
13-05-2026,,,South
13-05-2026,Mouse,,North
13-05-2026,Mouse,300,East
13-05-2026,laptop,25,West
2026-05-13,Mouse,ERROR,West
13-05-2026,laptop,25,South
,keyboard,,East
2026/05/10,Mouse,300,North
